Latitude,Longitude,AQI
17.712474,-64.784868,17.8
18.009558,-66.627249,17.1
18.175378,-66.725988,13.222222222222221
18.198712,-66.052237,15.5
18.343811,-64.931389,19.35483870967742
18.383983,-65.618888,17.444444444444443
18.420089,-66.150615,16.6
18.440095,-66.11446,23.066666666666666
19.117561,-155.778136,19.976744186046513
19.2039,-155.480183,20.102564102564102
19.509778,-155.913417,12.516129032258064
19.555444,-155.102028,21.86111111111111
19.717562,-155.11053,12.472222222222221
20.780997,-156.446373,16.5
21.303382,-157.871171,22.741935483870968
21.30758,-157.85542,15.451612903225806
21.323745,-158.088613,10.341463414634147
21.392833,-157.969126,15.774193548387096
21.949599,-159.36624,15.96774193548387
25.471944,-80.482778,29.9
25.794222,-80.215556,36.303030303030305
25.892518,-97.49383,25.533333333333335
25.941944,-80.326389,26.9
26.053889,-80.256944,25.595238095238095
26.132677,-80.169817,31.93548387096774
26.22621,-98.291069,29.310344827586206
26.288622,-98.152066,24.5
26.291088,-80.096353,24.22222222222222
26.294167,-80.176389,25.878048780487806
26.456944,-80.092778,23.333333333333332
26.602016,-81.877908,36.5
26.687606,-80.219619,22.571428571428573
27.290556,-82.507222,28.387096774193548
27.426981,-97.298692,26.75
27.599444,-99.533333,29.482758620689655
27.785866,-82.739875,33.774193548387096
27.804489,-97.431553,22.951612903225808
27.811817,-97.465703,23.4
27.96565,-82.2304,36.891891891891895
27.986283,-82.78215,24.444444444444443
28.028889,-81.972222,33.61290322580645
28.053611,-80.628611,21.8
28.596389,-81.3625,27.956521739130434
28.704607,-100.451156,21.130434782608695
28.746111,-81.310556,27.87878787878788
29.206667,-81.0525,30.80952380952381
29.254474,-94.861289,20.0
29.275381,-98.311692,30.52173913043478
29.30265,-103.17781,15.096774193548388
29.51509,-98.620166,25.09375
29.529432,-98.391403,33.81818181818182
29.566112,-82.26608,23.161290322580644
29.670025,-95.128508,26.390243902439025
29.679301,-90.779731,23.3
29.706111,-82.387778,22.083333333333332
29.733726,-95.257593,36.628571428571426
29.767997,-95.220582,39.58620689655172
29.770698,-95.031232,27.93103448275862
29.81453,-95.38769,34.0
