"PM25","lon","lat"
5.19877580645161,-80.76542,25.16592
5.0927764516129,-80.88018,25.1846
4.97263032258064,-80.995,25.20316
5.10603032258064,-81.10987,25.22159
5.03500987096774,-80.51502,25.23196
4.8632455483871,-80.62982,25.25093
4.98453316129032,-80.74467,25.26978
4.95926387096774,-80.85958,25.2885
5.56476548387097,-80.49394,25.3358
4.95582725806452,-80.60888,25.35481
5.04761538709677,-80.72388,25.37369
4.96688064516129,-80.83892,25.39244
5.0479,-80.95403,25.41106
6.14690387096774,-80.35778,25.42051
5.14109,-81.06918,25.42955
6.83498903225806,-80.47281,25.43968
5.22556367741935,-80.58789,25.45872
4.94911035483871,-80.70303,25.47763
4.94946806451613,-80.81821,25.49641
5.16842767741935,-80.93346,25.51506
7.47873,-80.33646,25.52439
5.36113193548387,-81.04874,25.53358
7.13969322580645,-80.45162,25.5436
5.52133129032258,-81.16409,25.55197
5.42124190322581,-80.56685,25.56267
5.01306041935484,-80.68212,25.58161
4.91537629032258,-80.79745,25.60042
5.15687964516129,-80.91283,25.61911
8.13925322580645,-80.31508,25.62831
5.49770680645161,-81.02827,25.63766
7.72701129032258,-80.43039,25.64755
5.77463548387097,-81.14375,25.65608
5.65265493548387,-80.54575,25.66666
5.95256967741935,-81.25929,25.67437
5.20335264516129,-80.66117,25.68563
5.09214735483871,-80.77664,25.70447
5.13915051612903,-80.89217,25.72319
8.7959929032258,-80.29364,25.73228
5.42732151612903,-81.00774,25.74177
7.56795483870968,-80.4091,25.75154
5.86609032258065,-81.12337,25.76022
5.84678129032258,-80.5246,25.77068
5.95505451612903,-81.23904,25.77854
5.40563658064516,-80.64016,25.78969
6.25153032258064,-81.35478,25.79673
5.22057164516129,-80.75578,25.80856
7.93320032258065,-80.15662,25.81684
5.23936503225806,-80.87144,25.8273
9.0288964516129,-80.27216,25.83627
5.38300064516129,-80.98716,25.84592
7.27652709677419,-80.38775,25.85557
5.77203096774194,-81.10293,25.8644
5.92774632258064,-80.5034,25.87474
5.992074,-81.21875,25.88275
5.52916970967742,-80.61909,25.89378
6.50870664516129,-81.33463,25.90097
5.36213293548387,-80.73485,25.91268
6.04854741935484,-81.45055,25.91905
5.20619219354839,-80.85066,25.93146
5.73704274193548,-81.56653,25.93701
9.27347580645161,-80.25061,25.9403
5.3024734516129,-80.96652,25.9501
6.63683280645161,-81.68256,25.95483
7.60642483870968,-80.36635,25.95963
5.66938129032258,-81.08244,25.96861
6.1548344516129,-80.48214,25.97884
5.60369222580645,-81.1984,25.98699
5.69614970967742,-80.59798,25.99791
6.80199064516129,-81.31442,26.00524
5.54688541935484,-80.71387,26.01684
7.8563785483871,-81.43049,26.02336
5.30641370967742,-80.82983,26.03565
5.73817261290323,-81.54662,26.04134
9.1214164516129,-80.22901,26.04437
5.35774612903226,-80.94583,26.05432
6.999713,-81.66279,26.0592
8.29206225806452,-80.34489,26.06373
5.70849629032258,-81.06189,26.07287
7.18842303225806,-81.77901,26.07692
6.61125548387097,-80.46082,26.08297
5.23975161290323,-81.178,26.09128
5.94420348387097,-80.57681,26.10207
6.17271058064516,-81.29417,26.10956
5.78337951612903,-80.69285,26.12104
11.6023023548387,-81.41038,26.1277
5.64492793548387,-80.80894,26.13988
5.95875112903226,-81.52664,26.14572
8.71255419354839,-80.20736,26.14847
5.70500525806452,-80.92509,26.15858
6.86611096774194,-81.64296,26.1636
7.50919225806452,-80.32338,26.16787
6.09478509677419,-81.0413,26.17716
7.96662835483871,-81.75933,26.18135
6.26625290322581,-80.43945,26.18714
5.37298358064516,-81.15755,26.1956
5.91404129032258,-80.55559,26.20627
5.25894858064516,-81.27386,26.21391
5.72372409677419,-80.67177,26.22527
5.52577941935484,-81.39021,26.23208
5.65917629032258,-80.78801,26.24414
6.18930190322581,-81.50662,26.25013
8.54882838709677,-80.18565,26.25261
5.8361604516129,-80.9043,26.26288
6.99775119354839,-81.62309,26.26804
7.21019258064516,-80.30181,26.27204
6.63648703225806,-81.02065,26.28148
8.17917787096774,-81.7396,26.28582
5.96069612903226,-80.41803,26.29134
5.54939806451613,-81.13705,26.29995
5.97764383870968,-80.53431,26.3105
5.45297022580645,-81.25349,26.31829
6.02168803225806,-80.65063,26.32954
5.73899009677419,-81.37,26.3365
5.83815741935484,-80.76702,26.34844
6.11809277419355,-81.48656,26.35457
8.01233612903226,-80.16389,26.35679
5.74269674193548,-80.88345,26.3672
6.22372112903226,-81.60316,26.37252
6.26349096774194,-80.2802,26.37625
7.57872593548387,-80.99995,26.38584
6.80639338709677,-81.71982,26.39033
5.78797425806452,-80.39655,26.39558
5.63668222580645,-81.11649,26.40434
7.64182264516129,-81.83652,26.408
6.07094603225806,-80.51298,26.41477
5.56558651612903,-81.23309,26.42271
6.33618296774194,-80.62945,26.43384
5.88654603225806,-81.34973,26.44095
6.29980474193548,-80.74597,26.45277
6.39951983870968,-81.46643,26.45906
7.58608580645161,-80.14207,26.461
5.98646180645161,-80.86256,26.47157
6.64413909677419,-81.58318,26.47703
6.33063225806452,-80.25851,26.48049
6.11176851612903,-80.97919,26.49024
7.13535687096774,-81.69999,26.49487
5.80168377419355,-80.37502,26.49985
5.74424483870968,-81.09588,26.50877
8.21848590322581,-81.81684,26.51257
6.07091270967742,-80.49158,26.51908
5.8063774516129,-81.21262,26.52717
8.11786748387097,-81.93375,26.53014
6.37942490322581,-80.6082,26.53818
5.9625065483871,-81.32941,26.54544
6.60117012903226,-80.72488,26.55714
6.28708596774194,-81.44626,26.56357
7.9889864516129,-80.12019,26.56524
6.19202935483871,-80.8416,26.57597
7.15773187096774,-81.56316,26.58158
8.21347580645161,-80.23679,26.58477
6.16703432258064,-80.95838,26.59467
8.5328884516129,-81.6801,26.59944
6.48860322580645,-80.35344,26.60416
5.8202095483871,-81.07521,26.61323
8.11123406451613,-81.7971,26.61718
5.96021932258065,-80.47015,26.62342
5.99199206451613,-81.1921,26.63166
8.35131206451613,-81.91415,26.63478
6.29173183870968,-80.58691,26.64255
5.99079906451613,-81.30904,26.64996
8.14979441935484,-82.03126,26.65224
6.51638722580645,-80.70372,26.66154
6.26022058064516,-81.42603,26.66813
7.69922161290323,-80.09826,26.66952
6.09285377419355,-80.82059,26.6804
6.50043806451613,-81.54308,26.68616
8.31178516129032,-80.215,26.68908
6.46614148387097,-80.93752,26.69913
6.97386958064516,-81.66017,26.70405
7.69837451612903,-80.33179,26.7085
6.176377,-81.0545,26.71773
7.39671261290323,-81.77731,26.72182
6.2224765483871,-80.44865,26.72779
6.05369790322581,-81.17152,26.73619
7.44136051612903,-81.89452,26.73945
6.25747290322581,-80.56555,26.74695
6.17208790322581,-81.28861,26.75452
7.19304332258065,-82.01176,26.75694
5.98718916129032,-80.68251,26.76598
6.566799,-81.40575,26.77271
6.63800741935484,-80.07627,26.77383
5.64674596774194,-80.79953,26.78487
6.45110506451613,-81.52294,26.79077
7.17084096774193,-80.19315,26.79342
5.91487658064516,-80.9166,26.80363
6.75487458064516,-81.64018,26.8087
7.04712651612903,-80.3101,26.81288
6.03105932258064,-81.03372,26.82226
6.97784864516129,-81.75748,26.82649
5.73337541935484,-80.42709,26.8322
6.08972112903226,-81.1509,26.84075
7.09170532258065,-81.87482,26.84415
6.04638890322581,-80.54414,26.85139
5.75544796774193,-81.26814,26.85911
7.514092,-81.99222,26.86168
5.83852287096774,-80.66125,26.87045
5.94066109677419,-81.38542,26.87733
5.64267219354839,-80.77841,26.88937
6.51948309677419,-81.50275,26.89543
7.96513335483871,-82.22717,26.89633
6.70647096774193,-80.17126,26.8978
5.82332990322581,-80.89563,26.90816
6.90206838709677,-81.62015,26.91338
6.79511664516129,-80.28834,26.91729
5.97290964516129,-81.0129,26.92682
7.27706880645161,-81.73759,26.93121
5.67284861290323,-80.40548,26.93664
6.33716558064516,-81.13023,26.94534
