"PM25","lon","lat"
6.45905483870968,-117.05872,32.55447
5.02178032258064,-116.93384,32.578
3.43276741935484,-116.80888,32.6014
2.645751,-116.68384,32.62465
2.52261022580645,-116.03086,32.63324
2.25115170967742,-116.55872,32.64776
2.9572924516129,-115.90554,32.65559
2.08109896774194,-116.43353,32.67073
3.61244161290323,-115.78014,32.6778
5.18792032258065,-116.96172,32.68328
2.15441319354839,-116.30827,32.69355
5.60513,-115.65468,32.69986
3.3660735483871,-116.8366,32.70671
2.23215958064516,-116.18294,32.71622
9.83483612903226,-115.52914,32.72178
3.47628064516129,-114.87529,32.72337
2.61102325806452,-116.7114,32.73
3.19752161290323,-116.05753,32.73875
9.44335677419355,-115.40353,32.74355
3.64504032258065,-114.7495,32.74438
2.08106319354839,-116.58612,32.75315
3.49119483870968,-115.93204,32.76114
7.12349161290323,-117.1149,32.76495
7.23165677419355,-115.27785,32.76517
3.81107193548387,-114.62363,32.76524
1.90603012903226,-116.46077,32.77615
4.52624806451613,-115.80648,32.78338
3.78442225806452,-115.1521,32.78665
6.28168258064516,-116.98969,32.78857
1.98086893548387,-116.33534,32.799
7.44420193548387,-115.68085,32.80548
2.88619925806452,-115.02628,32.80799
4.39199096774194,-116.8644,32.81203
2.16930361290323,-116.20984,32.82171
10.4506835483871,-115.55515,32.82743
2.74271096774194,-114.90038,32.82918
2.94994493548387,-116.73904,32.83536
2.73127074193548,-116.08426,32.84428
8.9798835483871,-115.42937,32.84923
2.61596048387097,-114.77442,32.85022
2.18069616129032,-116.61359,32.85854
3.03424767741935,-115.95861,32.8667
6.54773032258064,-117.1431,32.87022
5.34095387096774,-115.30352,32.87089
2.64153238709677,-114.64839,32.87112
1.99379470967742,-116.48808,32.88158
3.3952695483871,-115.83289,32.88898
2.68020577419355,-114.52229,32.89187
3.12334293548387,-115.1776,32.89241
5.29653096774194,-117.01773,32.89387
2.00901264516129,-116.36248,32.90447
4.13684967741936,-115.70708,32.91111
2.60706896774194,-115.05161,32.91378
3.82441129032258,-116.89228,32.91737
2.232577,-116.23682,32.92722
7.03823806451613,-115.58121,32.93309
2.52919706451613,-114.92555,32.935
3.01723232258065,-116.76675,32.94073
2.68227758064516,-116.11107,32.94982
7.08010903225806,-115.45527,32.95493
2.46627241935484,-114.79942,32.95608
3.40786335483871,-116.64114,32.96395
3.01713470967742,-115.98525,32.97228
6.28536451612903,-117.17139,32.97549
4.30347903225806,-115.32925,32.97663
2.49794441935484,-114.67322,32.97701
