"PM25","lon","lat"
5.76508548387097,-74.94093,38.95946
5.74907548387097,-74.73782,39.14389
5.59943612903226,-74.87363,39.17014
5.87406258064516,-75.14555,39.22215
6.05804451612903,-74.70383,39.24918
6.03991967741936,-74.83983,39.27546
6.30789290322581,-74.97593,39.30159
6.40314967741935,-75.11214,39.32755
6.53750774193548,-74.53365,39.32797
6.45842225806452,-75.24844,39.35336
6.52691225806452,-74.66974,39.35445
6.3904564516129,-75.38484,39.37901
6.29113903225806,-74.80593,39.38078
6.95203193548387,-74.94222,39.40694
7.63296935483871,-75.07862,39.43294
7.00958580645161,-74.49926,39.4332
7.34967161290323,-75.21512,39.45879
6.90476129032258,-74.63554,39.45972
7.03738967741935,-75.35172,39.48448
6.63792290322581,-74.77193,39.48608
7.28259032258064,-75.48841,39.51001
7.02128806451613,-74.90842,39.51228
7.52226193548387,-75.045,39.53832
6.33628612903226,-74.46478,39.53841
7.25887838709677,-75.18169,39.56421
6.52725,-74.60125,39.56497
7.35292419354839,-75.31848,39.58994
6.69845483870968,-74.73782,39.59137
7.92025225806452,-75.45537,39.61551
6.21817483870968,-74.29362,39.61686
7.10552258064516,-74.8745,39.61761
6.37096580645161,-74.43018,39.64361
7.4384864516129,-75.01128,39.64369
7.72517193548387,-75.14816,39.66962
6.41893870967742,-74.56685,39.67021
8.11067032258065,-75.28515,39.69538
6.69808967741935,-74.70361,39.69665
8.76381032258064,-75.42223,39.72099
6.66152838709677,-74.25874,39.72201
7.31080903225806,-74.84048,39.72293
5.95052483870968,-80.18271,39.72914
6.3207435483871,-78.02409,39.7299
7.24337677419355,-76.72308,39.73261
5.38659387096774,-79.46319,39.73378
5.78491161290323,-78.74362,39.73403
7.42944709677419,-76.1413,39.74096
6.57701258064516,-77.44253,39.74466
6.45101967741935,-74.39548,39.7488
5.73223580645161,-80.32145,39.74902
8.09727774193548,-74.97746,39.74905
6.33956838709677,-78.16218,39.75232
5.41327677419355,-79.60173,39.75451
5.48436709677419,-78.88194,39.7556
7.40309677419355,-76.86074,39.75654
7.10108967741936,-76.27879,39.76556
7.32182161290323,-77.58046,39.76775
5.7637064516129,-80.46027,39.76875
5.76250064516129,-78.30035,39.77457
8.60429225806452,-75.11454,39.77501
5.71980903225806,-79.74035,39.77507
6.49849419354839,-74.53235,39.77544
5.49043290322581,-79.02036,39.77702
8.26317322580645,-76.9985,39.78032
7.06460967741936,-76.41636,39.79002
7.83093451612903,-77.71848,39.79068
6.48387419354839,-79.87906,39.79548
5.56320032258065,-78.43862,39.79667
8.12137193548387,-75.83408,39.79685
5.29618419354839,-79.15884,39.79827
5.60048935483871,-74.0869,39.80015
8.99202612903226,-75.25172,39.80082
6.80054516129032,-74.6693,39.80192
8.00214161290323,-77.13635,39.80393
7.16441677419355,-77.85659,39.81346
7.15611258064516,-76.55404,39.81431
6.11976419354839,-80.01784,39.81572
5.44500032258065,-78.57697,39.8186
5.35919612903226,-79.29742,39.81936
7.81557225806452,-75.97157,39.82182
9.3687629032258,-75.38899,39.82646
6.68083548387097,-74.22374,39.82714
7.34976870967742,-77.2743,39.82738
7.45355387096774,-74.80637,39.82824
6.43388161290323,-80.15671,39.8358
6.2689835483871,-77.99479,39.83607
7.46502419354839,-76.6918,39.83844
5.48237096774193,-79.43608,39.84028
5.41022451612903,-78.71542,39.84037
7.80211903225806,-76.10915,39.84663
6.3502435483871,-77.41234,39.85067
8.23867225806452,-75.52637,39.85195
6.5378935483871,-74.36069,39.85398
8.59210806451613,-74.94354,39.8544
6.09866096774194,-80.29565,39.85572
6.09007548387097,-78.13308,39.85852
5.75085677419355,-79.57483,39.86104
5.4721864516129,-78.85394,39.86197
7.91073709677419,-76.82967,39.86241
7.71189290322581,-76.24683,39.87127
7.02359161290323,-77.55047,39.8738
6.15799548387097,-80.43468,39.87547
7.95385483870968,-75.66386,39.87727
9.45529967741936,-75.08081,39.8804
6.79033709677419,-74.49773,39.88066
5.86804322580645,-78.27146,39.8808
7.04536161290323,-79.71365,39.88164
5.7689964516129,-78.99255,39.88342
7.60313935483871,-76.96763,39.88622
7.34735032258065,-76.3846,39.89576
8.04519322580645,-77.68869,39.89677
6.92110677419355,-79.85256,39.90208
7.76390774193548,-75.80144,39.90244
5.73630322580645,-78.40993,39.90293
5.55029419354839,-79.13125,39.9047
5.82950548387097,-74.05161,39.90524
10.3143861290323,-75.21819,39.90624
7.33478870967742,-74.6349,39.90717
7.66523193548387,-77.10567,39.90986
6.70833806451613,-77.827,39.91957
7.76459,-76.52247,39.92009
7.17449290322581,-79.99155,39.92235
5.78379,-78.54848,39.92489
5.54517193548387,-79.27003,39.92582
7.88779806451613,-75.93911,39.92744
9.28675,-75.35566,39.93192
7.56252483870968,-74.18864,39.93227
6.84997129032258,-77.24382,39.93335
8.35590580645161,-74.77215,39.93353
6.29523903225806,-77.96541,39.94222
7.26836032258064,-80.13062,39.94246
8.91998483870968,-76.66044,39.94425
