"AQI","lon","lat"
29.1428571428571,-117.059088,32.631242
58.3461538461538,-115.48307,32.67618
43.1923076923077,-116.944308,32.789565
33,-115.56306,32.79222
21.9333333333333,-117.123964,32.845709
39.625,-115.53917,32.97833
37.3333333333333,-117.09023,33.362593
12.21875,-117.088649,33.447867
25.4444444444444,-117.67593,33.63003
32.9,-116.21537,33.70853
18.6,-115.820124,33.747236
45.8360655737705,-118.17533,33.79236
47.5714285714286,-118.18921,33.82376
36.6393442622951,-117.93845,33.83062
22.7,-116.54101,33.85275
56.2258064516129,-118.200707,33.859662
50.6666666666667,-118.205,33.901389
12.09375,-116.830074,33.944713
49.5,-117.4924,33.99636
38.6567164179104,-117.41601,33.99958
40.0666666666667,-118.0685,34.01029
53.0833333333333,-117.61722,34.030833
40.9428571428571,-118.22688,34.06659
38.2,-117.49201,34.10002
35.3333333333333,-117.274063,34.106678
26.2,-118.1272,34.1326
23.5,-117.92391,34.1365
32.6,-118.53276,34.19925
26.2692307692308,-118.870509,34.210169
21.6666666666667,-119.143182,34.25239
31.2,-116.86147,34.26464
25.5490196078431,-118.683685,34.276316
11.24,-118.80998,34.404281
26.6129032258064,-119.691218,34.427775
17.9677419354839,-119.8284,34.44551
29.5161290322581,-119.2313,34.44806
26.0161290322581,-117.32554,34.510961
14.0322580645161,-120.4575,34.63782
18.2903225806452,-118.130511,34.669739
17.1612903225806,-120.435611,34.942872
28.9677419354839,-120.56388,35.02083
15.8709677419355,-120.58777,35.04673
11.5483870967742,-118.147294,35.050551
13.7407407407407,-120.6693,35.25651
57.8888888888889,-118.997627,35.324636
65.4,-119.015009,35.385574
25.8064516129032,-120.66617,35.49453
6.03225806451613,-117.715066,35.642943
63.7948717948718,-119.56565,36.102244
15.4193548387097,-121.126371,36.209286
65.6129032258064,-119.643447,36.31567
11.1290322580645,-121.73333,36.48187
15.780487804878,-117.871036,36.487823
29.9230769230769,-120.382331,36.634225
17.3611111111111,-121.623271,36.694261
56.6363636363636,-119.733,36.72639
63.6666666666667,-119.77321,36.78538
53.3235294117647,-119.716433,36.819449
15.6129032258065,-121.3621,36.843425
48.1818181818182,-120.034203,36.953256
28,-121.98822,36.98332
31.6923076923077,-119.658339,36.985119
27.258064516129,-121.574684,36.999571
26.9259259259259,-122.083092,37.06315
56.5806451612903,-120.433671,37.281853
56.1,-120.480456,37.30832
38.7096774193548,-121.849783,37.338135
38.3414634146341,-121.894898,37.348497
8.30555555555556,-118.330783,37.360684
38.7,-122.20337,37.482934
65.8333333333333,-120.836008,37.488317
49.3846153846154,-120.994212,37.642165
61.0967741935484,-118.96652,37.64571
34.8387096774194,-121.784217,37.687526
32.3225806451613,-121.903019,37.701222
29.6451612903226,-122.169935,37.743065
38.2413793103448,-122.399044,37.765946
35.7096774193548,-122.263376,37.793624
31.9677419354839,-122.026154,37.936013
65.0322580645161,-121.268523,37.950741
38.1290322580645,-122.356811,37.9604
7.36363636363636,-119.120278,37.962069
28.8709677419355,-122.520004,37.97231
33.0909090909091,-120.680277,38.20185
33.258064516129,-122.275024,38.278849
29.4838709677419,-122.818294,38.403765
31.5806451612903,-121.211131,38.494475
47.2,-121.49311,38.56844
51.5,-121.503795,38.593322
48.3030303030303,-121.368014,38.613779
52.3333333333333,-121.73269,38.66121
33.8225806451613,-121.164457,38.683304
27.8571428571429,-121.26498,38.74643
31.2692307692308,-121.09959,38.93568
12.8,-122.91333,39.01893
26.2857142857143,-122.281803,39.021221
45.6896551724138,-121.618549,39.138773
40.1612903225806,-123.20655,39.15047
31.4,-121.99887,39.18919
28.0588235294118,-121.055608,39.233477
25.7,-120.184592,39.32783
35.0357142857143,-123.35264,39.41174
44.5185185185185,-121.84047,39.76168
62.1176470588235,-120.944376,39.939567
25.8148148148148,-122.25556,40.17093
47.4,-122.38092,40.55013
33.2,-124.17949,40.77678
43.1612903225806,-122.633579,41.726892
